product_id,sku,name,description,category,subcategory,brand,price,cost,stock_quantity,is_active,created_at
PROD-4104AA70,UND-SPO-0071,Under Armour Dumbbells Set Capitare,Offen vom kochen von stark Bruder dann Schuh er sieht Bild Blume Woche Abend Stein Fenster baden Bett Geschichte mal.,sports,Dumbbells Set,Under Armour,75.09,50.85,350,True,2024-09-27T00:15:14
PROD-574EA830,REE-SPO-0072,Reebok Bicycle Voler,Samochodowy ogół Egipt łagodny przyjaźń dusza wzrost itp. oczekiwać prawda wzrok mysz badanie światło 70 znaleźć istotny gotować utwór wysokość.,sports,Bicycle,Reebok,725.49,329.23,435,True,2024-04-12T05:46:43
PROD-D6FAEAEA,ADI-SPO-0073,Adidas Bicycle Na,Actual suerte campaña tenido bastante generales incluso texto tiene ni palabras conocimiento quizá.,sports,Bicycle,Adidas,668.63,418.35,364,True,2023-03-04T02:24:21
PROD-4FA91F9F,NIK-SPO-0074,Nike Bicycle Osoba,Nihil totam facere perspiciatis perspiciatis aperiam ea saepe iste quia laboriosam libero quis et voluptatum.,sports,Bicycle,Nike,438.42,249.54,290,True,2023-06-27T04:18:32
PROD-A5464934,UND-SPO-0075,Under Armour Bicycle Auf,Liberare lettera terreno smettere vero levare su lasciare chi resistere indicare allontanare certamente facile volere perfetto.,sports,Bicycle,Under Armour,740.63,416.36,196,True,2023-10-12T01:19:46
PROD-084C7CF4,DEC-SPO-0076,Decathlon Tennis Racket Leader,Nehmen einfach brauchen hin deshalb gleich am hin gegen wohnen mich.,sports,Tennis Racket,Decathlon,152.11,83.7,498,True,2023-05-28T12:51:04
PROD-F0A79D30,NIK-SPO-0077,Nike Tennis Racket Planeta,Metal lina kąt daleki wydarzenie element pokonać samochodowy restauracja niektóry republika potrzebować pomoc przeciwko zamiar dopiero cześć.,sports,Tennis Racket,Nike,103.31,67.32,174,True,2024-06-15T07:45:26
PROD-781224A5,REE-SPO-0078,Reebok Football Plat,Consectetur eligendi quam rem sint fuga voluptas aperiam ipsum impedit distinctio eveniet doloremque sit est totam voluptate ratione nam neque.,sports,Football,Reebok,48.32,30.54,15,True,2024-06-26T09:48:22
PROD-B2C4B6DA,UND-SPO-0079,Under Armour Football Compter,Nuovo tale proprio parecchio secolo dio nostro strada europeo stamattina giudicare chiudere fatto moglie letto succedere udire quarto attendere già contatto.,sports,Football,Under Armour,56.21,28.48,481,True,2024-07-06T22:55:11
PROD-1269D229,ADI-SPO-0080,Adidas Football Haus,East plan force station lot certainly evening floor world painting movie station position whatever our build safe save.,sports,Football,Adidas,72.09,43.12,43,True,2024-02-11T14:47:17
PROD-1E5E1765,PUM-SPO-0081,Puma Football Madre,Schudden verschrikkelijk hebben even hart andere proberen land kennis tellen zuid lijken kleur dik liggen hobby wie.,sports,Football,Puma,82.04,50.37,42,True,2023-08-03T08:04:14
PROD-97FDA2F9,DEC-SPO-0082,Decathlon Fitness Tracker Voisin,Serce chodzić katastrofa światło ciotka pół ramię łóżko minerał pamiętać średni kiedyś rodzic wodny.,sports,Fitness Tracker,Decathlon,205.78,91.84,199,True,2024-05-14T21:57:52
PROD-78F57A58,NIK-SPO-0083,Nike Fitness Tracker Mayoría,Argue response car ask attack charge mission vote dog senior win full include seem manage nation modern politics.,sports,Fitness Tracker,Nike,67.3,45.96,227,True,2024-06-23T12:01:58
PROD-C9395F2B,PUM-SPO-0084,Puma Fitness Tracker Minute,Ipsum beatae tenetur ea dolores officia nam amet sapiente dolorem aliquam dolor.,sports,Fitness Tracker,Puma,69.45,29.6,220,True,2023-04-29T13:14:35
PROD-E47C1127,HAC-BOO-0085,Hachette Fiction Novel Lesen,Giustizia pericolo grazie mercato elemento alcuno pubblico impossibile attento controllo ampio dedicare mandare formare avanzare.,books,Fiction Novel,Hachette,17.16,7.0,181,True,2024-01-31T11:13:06
PROD-1513ECFE,HAC-BOO-0086,Hachette Fiction Novel Hund,Mari terminer quelqu'un drame militaire long circonstance couper offrir espérer envie.,books,Fiction Novel,Hachette,20.96,10.42,197,False,2023-11-01T23:11:57
PROD-BDE1F7B5,MAC-BOO-0087,Macmillan Fiction Novel Totam,Me productos viejo fuerzas camino cosas también película miedo temas nuestro habría sean volvió pie tendrá vía.,books,Fiction Novel,Macmillan,16.76,7.13,461,True,2023-12-27T05:28:53
PROD-397C46BB,HAR-BOO-0088,HarperCollins Fiction Novel Raise,Succès sembler curieux aimer action satisfaire simple court trop flamme envie vivant obliger colline là minute drôle voilà signer.,books,Fiction Novel,HarperCollins,20.44,9.22,194,True,2023-03-02T07:57:02
PROD-5F07BD72,SIM-BOO-0089,Simon & Schuster Non-Fiction Book A,Anyone action ever a knowledge rock which best happy position wife score health evidence president father alone build center lead.,books,Non-Fiction Book,Simon & Schuster,19.25,8.54,85,True,2023-04-04T11:01:15
PROD-A767940F,MAC-BOO-0090,Macmillan Non-Fiction Book Up,Za ci układ okresowy zaraz kino delikatny towar wskazywać Jan Egipt ilość należeć.,books,Non-Fiction Book,Macmillan,20.09,12.75,184,True,2023-01-24T05:20:28
PROD-66A60E75,HAR-BOO-0091,HarperCollins Non-Fiction Book Modern,Kunst zien ooit basis beneden teen groep grof meel uit als graf vinden gehoorzamen liniaal aanbod raam.,books,Non-Fiction Book,HarperCollins,31.46,17.26,315,True,2024-03-10T03:28:43
PROD-1C17590D,HAR-BOO-0092,HarperCollins Technical Manual Orzeł,Du beau faire ruine même faux tâche promettre mauvais.,books,Technical Manual,HarperCollins,47.28,32.37,170,True,2024-07-25T01:01:38
PROD-7F2B92E1,MAC-BOO-0093,Macmillan Technical Manual Puro,Hund kurz grün gar Tier sitzen legen mehr Hand jeder nicht war ging halten krank so viel dort auf lesen.,books,Technical Manual,Macmillan,77.24,38.53,171,True,2024-04-10T02:18:07
PROD-3C3FC714,HAC-BOO-0094,Hachette Children's Book Unire,Dem Tisch erschrecken Schluss Bild immer da leise auf Brot aber Wiese rufen dort Familie schwarz Glas damit Seite.,books,Children's Book,Hachette,9.31,4.62,485,True,2024-03-01T23:51:43
PROD-2987CBBD,MAC-BOO-0095,Macmillan Children's Book Niet,Ook storm schaduw zoon geboorte proberen dier schip student snel vork ziek tweede.,books,Children's Book,Macmillan,12.34,8.51,495,True,2023-04-23T02:58:56
PROD-347ABD3E,MAC-BOO-0096,Macmillan Children's Book Voluptate,Estuvo nivel situación silencio marzo tener su equipo agua llamado análisis uno grupos.,books,Children's Book,Macmillan,23.45,14.88,166,True,2023-11-24T17:06:45
PROD-8A435E17,MAC-BOO-0097,Macmillan Children's Book Provincia,Feel hold decade investment operation long pass among man all floor all red technology himself much better read per go.,books,Children's Book,Macmillan,13.21,8.98,102,True,2023-01-22T05:25:59
PROD-DFE64E7E,HAR-BOO-0098,HarperCollins Cookbook Baby,Przemysł szyja ruch ojczyzna zbiornik dokonać artykuł płaszcz księżyc uśmiech.,books,Cookbook,HarperCollins,35.45,20.03,487,True,2023-09-08T18:46:47
PROD-2E29F89D,HAR-BOO-0099,HarperCollins Cookbook Fuerte,Mięsień Rosja strumień następny dziwny jako wiara oni chleb czytać technika kłopot zakładać.,books,Cookbook,HarperCollins,28.15,13.72,354,False,2023-07-16T16:04:13
